variant,scenario_id,category,llm_judge_score,llm_judge_pass,llm_judge_reasoning,judge_model,judge_ts,error
L0_baseline,201,Decision Support Query,5,1,"The response correctly identifies that the impeller is acceptable, describes the surface condition accurately, and does not mention any defects, aligning perfectly with the rubric.",gpt-4o-mini,2026-05-10T06:56:52Z,
L0_baseline,202,Decision Support Query,5,1,"The response correctly identifies the surface finish, describes the machining marks as normal artifacts, confirms the outer rim is intact, and states that the part passes quality inspection without any false claims.",gpt-4o-mini,2026-05-10T06:56:52Z,
L0_baseline,203,Decision Support Query,1,0,"The response incorrectly concludes that the part is acceptable, fails to identify significant defects on the outer rim, and mislocates the focus on the center bore.",gpt-4o-mini,2026-05-10T06:56:53Z,
L0_baseline,204,Decision Support Query,5,1,"The response correctly identifies the impeller as defective due to the presence of burrs along the outer rim, recommends rejection, and accurately describes the defect type and location without any false claims.",gpt-4o-mini,2026-05-10T06:56:54Z,
L0_baseline,205,Decision Support Query,2,0,"The response identifies some issues with the outer rim but fails to mention significant defects like chipping or material loss, misidentifies the severity of the irregularities, and incorrectly suggests that the part is acceptable despite recommending rejection.",gpt-4o-mini,2026-05-10T06:56:55Z,
L0_baseline,1,Data Query,5,1,The response correctly provides a single concrete value that matches the expected output based on the question.,gpt-4o-mini,2026-05-10T06:56:55Z,
L0_baseline,6,Anomaly Detection Query,5,1,"The response correctly identifies the BR panel as showing the most aged equipment, describes the visible defects of rust streaks, faded paint, and dirt accumulation, and adheres to the rubric without any false claims.",gpt-4o-mini,2026-05-10T06:56:56Z,
L0_baseline,9,Knowledge Query,4,1,"The response correctly identifies the mixed lighting conditions and provides a reasonable description for each panel, but it could be clearer about the specific conditions in the bottom right panel.",gpt-4o-mini,2026-05-10T06:56:57Z,
L0_baseline,10,Decision Support,3,0,"The response identifies the panels and discusses their visible features, but it fails to provide a clear primary verdict and lacks a strong justification for prioritizing the Bottom Right panel.",gpt-4o-mini,2026-05-10T06:56:58Z,
L0_baseline,14,Complex Query,5,1,"The response correctly identifies that none of the panels are thermal or infrared imagery and provides a clear inference about the operational state based on visible RGB cues, without any false claims.",gpt-4o-mini,2026-05-10T06:56:59Z,
L0_baseline,20,Prediction,5,1,The response correctly identifies the absence of visible issues and provides a clear justification for predicting that maintenance is not likely needed.,gpt-4o-mini,2026-05-10T06:57:00Z,
L0_baseline,301,Anomaly Detection Query,5,1,"The response correctly identifies visible damage, describes specific defects, and grounds the verdict in observable features without any false claims.",gpt-4o-mini,2026-05-10T06:57:01Z,
L0_baseline,302,Anomaly Detection Query,1,0,"The response incorrectly states there is visible damage and describes multiple defects, which contradicts the expected answer.",gpt-4o-mini,2026-05-10T06:57:02Z,
L0_baseline,303,Inference Query,2,0,"The response identifies a potential defect but fails to clearly name it as a specific type, and it incorrectly claims that the rest of the blade shows no abnormalities, which contradicts the requirement.",gpt-4o-mini,2026-05-10T06:57:03Z,
L0_baseline,304,Inference Query,5,1,The response correctly identifies that there is no damage and provides a clear justification based on visible features.,gpt-4o-mini,2026-05-10T06:57:03Z,
L0_baseline,305,Decision Support Query,4,1,"The response correctly identifies the primary verdict as 'fair' and mentions specific minor wear, but it could have more clearly stated that 'good' is the calibrated answer.",gpt-4o-mini,2026-05-10T06:57:04Z,
L0_baseline,503,Condition Assessment,2,0,"The response incorrectly rates the motor as degraded while describing it as operating within a normal temperature range, missing the identification of a significant hotspot or critical condition.",gpt-4o-mini,2026-05-10T06:57:05Z,
L0_baseline,507,Custom,1,0,"The response incorrectly concludes that the motor is operating normally and fails to identify any thermal anomalies, which contradicts the requirements of the question.",gpt-4o-mini,2026-05-10T06:57:06Z,
L0_baseline,509,Custom,2,0,"The response fails to provide a clear verdict on the temperature distribution and suggests ambiguity, which is a major omission, while also implying the possibility of hotspots.",gpt-4o-mini,2026-05-10T06:57:07Z,
L0_baseline,510,Custom,4,1,"The response correctly identifies a non-uniform temperature distribution and a localized hotspot, but it inaccurately describes the rest of the motor as having a 'more consistent, cooler temperature' instead of emphasizing that it is not uniform.",gpt-4o-mini,2026-05-10T06:57:08Z,
L0_baseline,515,Custom,1,0,"The response incorrectly identifies the stator windings as the primary fault source and fails to recognize the cooling fan as the most likely source, which is a major false claim.",gpt-4o-mini,2026-05-10T06:57:08Z,
L0_baseline,517,Custom,2,0,"The response misses the key recommendation to shut down the motor immediately and instead suggests scheduling maintenance, which is a major flaw.",gpt-4o-mini,2026-05-10T06:57:09Z,
L1_awq_w4a16_domain,201,Decision Support Query,5,1,"The response correctly identifies the part as acceptable, describes the surface condition accurately, and does not mention any defects, aligning perfectly with the rubric.",gpt-4o-mini,2026-05-10T06:57:10Z,
L1_awq_w4a16_domain,202,Decision Support Query,4,1,"The response correctly identifies the impeller as passing quality inspection and describes the machining marks appropriately, but it omits a clear recommendation for acceptance.",gpt-4o-mini,2026-05-10T06:57:11Z,
L1_awq_w4a16_domain,203,Decision Support Query,4,1,"The response correctly identifies the part as defective and recommends rejection, noting defects on the outer rim, but it omits a clear conclusion and does not fully describe the distribution of defects across multiple sides.",gpt-4o-mini,2026-05-10T06:57:12Z,
L1_awq_w4a16_domain,204,Decision Support Query,5,1,"The response correctly identifies the impeller as defective, locates the defect on the outer rim, describes it as burrs, and recommends rejection, addressing all key features in the rubric.",gpt-4o-mini,2026-05-10T06:57:12Z,
L1_awq_w4a16_domain,205,Decision Support Query,4,1,"The response correctly identifies the part as defective and recommends rejection, but it only mentions irregularities at the 10 o'clock position without addressing the multiple sides of the outer rim as required by the rubric.",gpt-4o-mini,2026-05-10T06:57:13Z,
L1_awq_w4a16_domain,1,Data Query,5,1,The response correctly identifies that there are no distinct power transformer units visible and provides the correct primary verdict of '0'.,gpt-4o-mini,2026-05-10T06:57:14Z,
L1_awq_w4a16_domain,6,Anomaly Detection Query,5,1,"The response correctly identifies the BR panel as showing signs of weathering and aging, provides a clear description of the observed defects, and accurately concludes that it has the most aged equipment.",gpt-4o-mini,2026-05-10T06:57:14Z,
L1_awq_w4a16_domain,9,Knowledge Query,4,1,"The response correctly identifies the lighting conditions as likely being daylight or overcast, but it could have been more specific about the conditions in each panel.",gpt-4o-mini,2026-05-10T06:57:15Z,
L1_awq_w4a16_domain,10,Decision Support,5,1,"The response correctly identifies the TL panel as the priority for maintenance, provides a clear justification linking visible issues like oil leaks and corona discharge to the need for immediate attention, and does not contain any false claims.",gpt-4o-mini,2026-05-10T06:57:16Z,
L1_awq_w4a16_domain,14,Complex Query,4,1,"The response correctly identifies that none of the panels are thermal or infrared imagery and provides a detailed inspection of each panel, but it has a minor omission as it does not explicitly state the overall operational state based on the visible cues.",gpt-4o-mini,2026-05-10T06:57:17Z,
L1_awq_w4a16_domain,20,Prediction,5,1,"The response correctly identifies the absence of visible issues and provides a clear justification for the prediction of unlikely maintenance needs, aligning perfectly with the rubric.",gpt-4o-mini,2026-05-10T06:57:18Z,
L1_awq_w4a16_domain,301,Anomaly Detection Query,5,1,"The response correctly identifies visible damage, describes the defect accurately, and grounds the conclusion in observable features without making false claims.",gpt-4o-mini,2026-05-10T06:57:20Z,
L1_awq_w4a16_domain,302,Anomaly Detection Query,5,1,The response correctly identifies the absence of damage and describes the blade surface accurately without any false claims.,gpt-4o-mini,2026-05-10T06:57:21Z,
L1_awq_w4a16_domain,303,Inference Query,2,0,"The response misses specific defect identification and localization, incorrectly claims no visible defects, and provides vague information about discoloration without a clear verdict.",gpt-4o-mini,2026-05-10T06:57:21Z,
L1_awq_w4a16_domain,304,Inference Query,5,1,The response correctly identifies that there is no damage and provides a clear justification based on the visible features of the blade.,gpt-4o-mini,2026-05-10T06:57:22Z,
L1_awq_w4a16_domain,305,Decision Support Query,4,1,"The response correctly identifies the primary verdict as 'fair' and mentions specific minor wear, but it could have more clearly stated that the overall condition is still acceptable.",gpt-4o-mini,2026-05-10T06:57:23Z,
L1_awq_w4a16_domain,503,Condition Assessment,4,1,"The response correctly identifies the motor as degraded and describes a significant hotspot, but it lacks specific mention of a stuck rotor fault.",gpt-4o-mini,2026-05-10T06:57:24Z,
L1_awq_w4a16_domain,507,Custom,2,0,"The response identifies a thermal anomaly but incorrectly suggests the motor may be operating normally, which contradicts the requirement to identify a fault condition.",gpt-4o-mini,2026-05-10T06:57:25Z,
L1_awq_w4a16_domain,509,Custom,5,1,"The response correctly identifies a uniform temperature distribution across the motor, confirms the absence of hotspots, and does not make any false claims.",gpt-4o-mini,2026-05-10T06:57:26Z,
L1_awq_w4a16_domain,510,Custom,4,1,"The response correctly identifies a non-uniform temperature distribution and a localized hotspot, but it implies that the rest of the motor has a consistent temperature, which could be interpreted as somewhat uniform.",gpt-4o-mini,2026-05-10T06:57:27Z,
L1_awq_w4a16_domain,515,Custom,1,0,"The response incorrectly identifies the stator windings as the primary fault source and fails to recognize the cooling fan as the most likely source, which is a major false claim.",gpt-4o-mini,2026-05-10T06:57:28Z,
L1_awq_w4a16_domain,517,Custom,2,0,"The response fails to recommend immediate shutdown or urgent maintenance, instead suggesting monitoring and inspection, which does not align with the rubric's requirements.",gpt-4o-mini,2026-05-10T06:57:29Z,
L1_awq_w4a16_generic,201,Decision Support Query,5,1,"The response correctly identifies the part as acceptable, describes the surface condition accurately, and does not mention any defects, aligning perfectly with the rubric.",gpt-4o-mini,2026-05-10T06:57:29Z,
